,Timestamp,Open,High,Low,Close,Volume
0,2023-09-25 01:00:00,119.29,121.265,118.89,121.07,3291260.0
1,2023-09-26 01:00:00,119.8,121.44,119.34,120.14,5204548.0
2,2023-09-27 01:00:00,121.715,123.92,120.8,123.09,5364088.0
3,2023-09-28 01:00:00,122.86,124.305,122.18,122.72,3964642.0
4,2023-09-29 01:00:00,122.48,122.61,119.64,119.8,5308920.0
5,2023-10-02 01:00:00,120.24,120.305,115.96,117.1,4769473.0
6,2023-10-03 01:00:00,116.76,117.67,116.07,117.6,4162818.0
7,2023-10-04 01:00:00,115.32,115.63,111.67,113.33,7287593.0
8,2023-10-05 01:00:00,112.51,114.58,112.19,113.42,4070087.0
9,2023-10-06 01:00:00,114.38,116.59,113.16,115.33,4209663.0
10,2023-10-09 01:00:00,118.96,121.87,118.75,121.82,6532807.0
11,2023-10-10 01:00:00,121.25,122.235,120.19,120.39,5705550.0
12,2023-10-11 01:00:00,119.5,120.19,118.03,120.04,7300713.0
13,2023-10-12 01:00:00,121.08,121.725,120.46,121.11,3859459.0
14,2023-10-13 01:00:00,124.06,125.97,123.43,124.86,5592376.0
15,2023-10-16 01:00:00,125.58,126.12,124.18,125.31,3769643.0
16,2023-10-17 01:00:00,125.2,126.43,124.94,125.46,4213810.0
17,2023-10-18 01:00:00,126.21,127.24,125.45,126.59,4781897.0
18,2023-10-19 01:00:00,125.69,127.35,124.8721,126.38,4491345.0
19,2023-10-20 01:00:00,126.19,126.67,123.86,124.06,5289405.0
20,2023-10-23 01:00:00,123.06,123.16,120.64,121.34,5969409.0
21,2023-10-24 01:00:00,121.57,121.99,119.9,119.95,4664482.0
22,2023-10-25 01:00:00,119.53,120.93,118.77,120.41,5010668.0
23,2023-10-26 01:00:00,118.73,119.16,117.25,118.31,6066469.0
24,2023-10-27 01:00:00,117.7,118.34,116.435,117.8,5312460.0
25,2023-10-30 01:00:00,117.78,118.5,116.51,118.14,5830549.0
26,2023-10-31 01:00:00,117.9,118.99,116.49,118.8,4504952.0
27,2023-11-01 01:00:00,119.48,119.765,116.49,116.67,8350870.0
28,2023-11-02 01:00:00,117.87,123.25,117.37,122.02,9068754.0
29,2023-11-03 01:00:00,121.5,121.89,119.35,119.75,5935585.0
30,2023-11-06 02:00:00,120.24,120.56,118.19,118.47,4611040.0
31,2023-11-07 02:00:00,116.42,116.5,114.33,115.25,5490996.0
32,2023-11-08 02:00:00,115.2,115.62,113.97,114.45,5884491.0
33,2023-11-09 02:00:00,115.65,116.07,114.05,114.15,4306290.0
34,2023-11-10 02:00:00,115.24,116.2062,114.6,115.61,4603092.0
35,2023-11-13 02:00:00,114.99,115.9113,114.99,115.36,3225900.0
36,2023-11-14 02:00:00,116.0,116.81,115.34,115.54,5421704.0
37,2023-11-15 02:00:00,115.0,116.665,114.88,115.03,4733260.0
38,2023-11-16 02:00:00,113.51,113.76,109.98,111.99,6733326.0
39,2023-11-17 02:00:00,112.8,115.53,112.23,114.59,5799107.0
40,2023-11-20 02:00:00,114.99,116.575,114.59,115.39,4046639.0
41,2023-11-21 02:00:00,115.18,115.63,114.5592,115.17,3720155.0
42,2023-11-22 02:00:00,112.02,115.13,111.16,114.85,4559075.0
43,2023-11-24 02:00:00,114.89,116.5731,114.86,115.49,2159208.0
44,2023-11-27 02:00:00,114.98,115.13,113.36,114.8,5289707.0
45,2023-11-28 02:00:00,115.26,115.975,114.48,114.98,3469209.0
46,2023-11-29 02:00:00,115.36,115.56,113.32,113.97,6065301.0
47,2023-11-30 02:00:00,115.17,116.7,113.64,115.57,10242737.0
48,2023-12-01 02:00:00,115.03,117.04,114.85,115.23,4675800.0
49,2023-12-04 02:00:00,114.08,115.92,113.8801,114.53,4824795.0
50,2023-12-05 02:00:00,114.73,114.9,113.04,113.14,5821399.0
51,2023-12-06 02:00:00,112.33,112.33,109.735,110.52,7489627.0
52,2023-12-07 02:00:00,111.32,111.905,110.65,110.85,5816770.0
53,2023-12-08 02:00:00,111.74,112.19,111.06,112.07,5713905.0
54,2023-12-11 02:00:00,112.12,112.63,111.54,112.16,7250110.0
55,2023-12-12 02:00:00,110.77,111.475,109.7,111.06,6888838.0
56,2023-12-13 02:00:00,111.5,112.255,110.87,111.85,8570114.0
57,2023-12-14 02:00:00,112.95,116.3502,112.75,114.95,11490415.0
58,2023-12-15 02:00:00,114.35,115.74,113.62,114.54,30860370.0
59,2023-12-18 02:00:00,115.83,117.2683,114.65,114.9,7000685.0
60,2023-12-19 02:00:00,114.95,116.64,114.25,116.49,6379264.0
61,2023-12-20 02:00:00,116.87,118.94,116.38,116.69,7767197.0
62,2023-12-21 02:00:00,116.5,116.88,115.28,116.83,4149328.0
63,2023-12-22 02:00:00,118.0,118.63,117.29,117.66,4299453.0
64,2023-12-26 02:00:00,118.7,119.43,118.38,119.02,2893651.0
65,2023-12-27 02:00:00,118.51,119.64,118.08,118.49,3441412.0
66,2023-12-28 02:00:00,117.66,118.2,116.44,116.5,3711359.0
67,2023-12-29 02:00:00,117.21,117.55,115.813,116.07,3643582.0
68,2024-01-02 02:00:00,117.17,118.8,116.85,117.59,4688408.0
69,2024-01-03 02:00:00,117.95,120.18,117.405,119.93,4882068.0
70,2024-01-04 02:00:00,120.61,121.24,116.27,116.48,5891538.0
71,2024-01-05 02:00:00,117.5,117.77,116.0,116.53,3984668.0
72,2024-01-08 02:00:00,114.96,115.05,112.48,114.5,6769837.0
73,2024-01-09 02:00:00,114.5,114.5,112.25,112.76,5935592.0
74,2024-01-10 02:00:00,112.73,112.73,110.83,111.18,4445207.0
75,2024-01-11 02:00:00,111.61,112.24,110.94,111.0,4212627.0
76,2024-01-12 02:00:00,113.0,113.37,111.045,111.7,5549817.0
77,2024-01-16 02:00:00,111.5,111.74,108.34,108.64,6677744.0
78,2024-01-17 02:00:00,106.92,108.54,106.58,107.57,4864060.0
79,2024-01-18 02:00:00,107.34,107.34,105.7701,106.93,6150889.0
80,2024-01-19 02:00:00,106.05,107.92,105.92,107.87,5702183.0
81,2024-01-22 02:00:00,107.5,108.39,107.0,108.06,5740242.0
82,2024-01-23 02:00:00,107.82,109.42,107.65,107.99,3969624.0
83,2024-01-24 02:00:00,108.92,110.02,108.42,109.67,5331984.0
84,2024-01-25 02:00:00,109.8,112.08,109.26,112.05,5958806.0
85,2024-01-26 02:00:00,112.04,112.45,110.44,112.23,4155987.0
86,2024-01-29 02:00:00,112.04,112.1,110.49,111.6,4705884.0
87,2024-01-30 02:00:00,111.21,114.33,110.76,114.05,6206541.0
88,2024-01-31 02:00:00,113.97,114.1,111.79,111.87,5501432.0
89,2024-02-01 02:00:00,112.34,113.22,110.8,111.38,5255188.0
90,2024-02-02 02:00:00,111.66,111.95,109.6946,110.63,4610163.0
91,2024-02-05 02:00:00,110.25,110.86,109.29,109.97,4520460.0
92,2024-02-06 02:00:00,110.88,112.45,110.195,111.52,4777831.0
93,2024-02-07 02:00:00,111.72,112.97,111.45,112.32,6100714.0
94,2024-02-08 02:00:00,113.11,115.29,112.585,113.9,7715527.0
95,2024-02-09 02:00:00,113.99,114.3,111.0216,111.16,5974069.0
96,2024-02-12 02:00:00,111.27,112.14,110.53,111.1,5802121.0
97,2024-02-13 02:00:00,111.1,111.93,108.84,109.77,6321089.0
98,2024-02-14 02:00:00,110.2,111.04,109.52,110.12,7248447.0
99,2024-02-15 02:00:00,109.04,111.7,108.84,111.0,9421885.0
100,2024-02-16 02:00:00,111.48,111.8,110.395,110.57,6967785.0
101,2024-02-20 02:00:00,110.55,111.63,109.36,109.54,6458274.0
102,2024-02-21 02:00:00,110.0,113.665,109.7,112.87,6927935.0
103,2024-02-22 02:00:00,112.06,112.91,111.31,112.22,5104996.0
104,2024-02-23 02:00:00,111.09,112.26,110.1,111.51,5206217.0
105,2024-02-26 02:00:00,111.2,112.52,110.61,112.42,5751167.0
106,2024-02-27 02:00:00,113.03,113.33,111.058,111.61,5060027.0
